Frage;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort
Was ist Binnenschifffahrtsfunk?;Internationaler mobiler UKW/VHF-Sprechfunkdienst auf Binnenschifffahrtsstraßen;Nationaler mobiler UKW/VHF-Sprechfunkdienst auf Binnenschifffahrtsstraßen;Internationales UKW/VHF-Sprechfunkverfahren im Binnenbereich;Nationales UKW/VHF-Sprechfunkverfahren im Binnenbereich;Internationaler mobiler UKW/VHF-Sprechfunkdienst auf Binnenschifffahrtsstraßen
Wozu dient der Binnenschifffahrtsfunk?;Funkverkehr für bestimmte Zwecke auf vereinbarten Kanälen (Verkehrskreise) und nach einem festgelegten Betriebsverfahren;Funkverkehr für Schiffsfunkstellen zu bestimmten Zwecken auf vereinbarten Kanälen (Verkehrskreise) und nach einem festgelegten Betriebsverfahren;Funkverkehr zu Landfunkstellen für bestimmte Zwecke auf vereinbarten Kanälen (Verkehrskreise) und nach einem festgelegten Betriebsverfahren;Funkverkehr für Schiffsfunkstellen über Landfunkstellen auf vereinbarten Kanälen (Verkehrskreise) und nach einem festgelegten Betriebsverfahren;Funkverkehr für bestimmte Zwecke auf vereinbarten Kanälen (Verkehrskreise) und nach einem festgelegten Betriebsverfahren
Wo findet man Angaben über die grundsätzlichen Regelungen für den Binnenschifffahrtsfunk in Europa?;Regionale Vereinbarung über den Binnenschifffahrtsfunk (RAINWAT);International Convention for the Safety of Life at Sea (SOLAS);Verwaltungsvereinbarung über die Koordinierung von Frequenzen (HCM);Binnenschifffahrt-Sprechfunkverordnung (BinSchSprFunkV);Regionale Vereinbarung über den Binnenschifffahrtsfunk (RAINWAT)
Was ist eine Revierzentrale?;Zentrale Landfunkstelle des Verkehrskreises Nautische Information;Zentrale Schiffsfunkstelle der Wasserstraßen- und Schifffahrtsverwaltung;Zentrale Telematikdienste zur Datenübermittlung von AIS;Zentrale Seefunkstelle zur Schiffslenkung;Zentrale Landfunkstelle des Verkehrskreises Nautische Information
Was ist ein Verkehrsposten?;Zentrale ortsfeste Funkstelle in den Niederlanden;Zentrale mobile Funkstelle in den Niederlanden;Zentrale ortsfeste Funkstelle in den Niederlanden und in Frankreich;Zentrale mobile Funkstelle in den Niederlanden und in Frankreich;Zentrale ortsfeste Funkstelle in den Niederlanden
Was ist ein Blockkanal?;Funkkanal für sicherheitsrelevante Meldungen der Verkehrsposten und Schiffsfunkstellen in den Niederlanden;Funkkanal für Routinegespräche der Verkehrsposten und Schiffsfunkstellen in den Niederlanden;Gesperrter Funkkanal der Verkehrsposten und Verkehrszentralen in den Niederlanden;Funkkanal für öffentlichen Nachrichtenaustausch zwischen den Verkehrsposten in den Niederlanden;Funkkanal für sicherheitsrelevante Meldungen der Verkehrsposten und Schiffsfunkstellen in den Niederlanden
Was bedeutet MIB?;Melde- und Informationssystem in der Binnenschifffahrt;Maritimes Identifikationssystem in der Binnenschifffahrt;Mobiles Informationssystem in der Binnenschifffahrt;Melde- und Identifikationssystem in der Binnenschifffahrt;Melde- und Informationssystem in der Binnenschifffahrt
Wo darf der Inhaber eines in Deutschland erworbenen UKW-Sprechfunkzeugnisses für den Binnenschifffahrtsfunk am Funkverkehr teilnehmen?;In allen Ländern, die der Regionalen Vereinbarung über den Binnenschifffahrtsfunk beigetreten sind;In allen Mitgliedstaaten der EU;In allen Staaten, die die Vollzugsordnung für den Funkdienst ratifiziert haben;In allen deutschsprachigen Ländern;In allen Ländern, die der Regionalen Vereinbarung über den Binnenschifffahrtsfunk beigetreten sind
Wo berechtigt das UKW-Sprechfunkzeugnis für den Binnenschifffahrtsfunk (UBI) auch zur Teilnahme am mobilen Seefunkdienst?;Wasserstraßen der Zonen 1 bis 2;Wasserstraßen der Zonen 2 bis 4;Wasserstraßen der Zonen 1 bis 4;Wasserstraßen der Zonen 2 bis 3;Wasserstraßen der Zonen 1 bis 2
Wer erteilt neben der zuständigen Stelle des Bundes das UKW-Sprechfunkzeugnis für den Binnenschifffahrtsfunk (UBI)?;Prüfungsausschüsse des Deutschen Motoryachtverbandes e. V. (DMYV) und des Deutschen Segler-Verbandes e. V. (DSV);Bundesnetzagentur (BNetzA) und das Bundesamt für Seeschifffahrt und Hydrographie (BSH);Zentrale Verwaltungsstelle (ZVST) und Generaldirektion Wasserstraßen und Schifffahrt (GDWS);Wasserstraßen- und Schifffahrtsamt (WSA) und Bundesnetzagentur (BNetzA);Prüfungsausschüsse des Deutschen Motoryachtverbandes e. V. (DMYV) und des Deutschen Segler-Verbandes e. V. (DSV)
Welches Funkzeugnis berechtigt nicht zur Teilnahme am Weltweiten Seenot- und Sicherheitsfunksystem (GMDSS)?;UKW-Sprechfunkzeugnis für den Binnenschifffahrtsfunk (UBI);Beschränkt Gültiges Funkbetriebszeugnis (SRC);Allgemeines Funkbetriebszeugnis (LRC);Allgemeines Betriebszeugnis für Funker (GOC);UKW-Sprechfunkzeugnis für den Binnenschifffahrtsfunk (UBI)
Welches Funkzeugnis berechtigt nicht zur Teilnahme am Binnenschifffahrtsfunk?;Amateurfunkzeugnis;UKW-Sprechfunkzeugnis für den Binnenschifffahrtsfunk (UBI);Allgemeines Sprechfunkzeugnis für den Seefunkdienst;Beschränkt gültiges Betriebszeugnis für Funker I (BZ I);Amateurfunkzeugnis
Worauf ist bei der Teilnahme am Binnenschifffahrtsfunk in anderen Ländern zu achten?;Die Bestimmungen im Regionalen Teil des Handbuchs Binnenschifffahrtsfunk sind zu beachten;Die Bestimmungen der Binnenschifffahrt-Sprechfunkverordnung sind zu beachten;Die Bestimmungen der EU-Kommission sind zu beachten;Die Bestimmungen der Binnenschifffahrtsstraßenordnung sind zu beachten;Die Bestimmungen im Regionalen Teil des Handbuchs Binnenschifffahrtsfunk sind zu beachten
Wo findet man z. B. Angaben über die Ausrüstungspflicht mit Funkanlagen auf Binnenschiffen?;Binnenschifffahrtstraßenordnung;Binnenschifffahrt-Sprechfunkverordnung;Binnenschifferpatentverordnung;Schiffssicherheitsverordnung;Binnenschifffahrtstraßenordnung
Wo findet man Angaben über die Funkbenutzungspflicht für Fahrzeuge auf bestimmten Binnenschifffahrtsstraßen?;Regionale Teile des Handbuchs Binnenschifffahrtsfunk;Allgemeiner Teil des Handbuchs Binnenschifffahrtsfunk;Binnenschifffahrt-Sprechfunkverordnung;Binnenschifferpatentverordnung;Regionale Teile des Handbuchs Binnenschifffahrtsfunk
Das Abhörverbot und das Fernmeldegeheimnis sind geregelt…;im Telekommunikationsgesetz (TKG);in der Binnenschifffahrt-Sprechfunkverordnung (BinSchSprFunkV);in der Schiffssicherheitsverordnung (SchSV);im Gesetz über Funkanlagen und Telekommunikationsendeinrichtungen (FTEG);im Telekommunikationsgesetz (TKG)
Welche Folgen kann die Verletzung des Fernmeldegeheimnisses haben?;Strafrechtliche Verfolgung;Ordnungswidrigkeitsverfahren;Schriftliche Verwarnung;Einzug der Funkanlage;Strafrechtliche Verfolgung
