"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Was versteht man unter dem Mobilen Seefunkdienst?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>zwischen tragbaren Funkstellen an Bord eines Seefahrzeuges</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>zwischen Funkstellen ohne Zuteilung</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>zwischen Küstenfunkstellen und Seefunkstellen bzw. zwischen Seefunkstellen untereinander</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>D.</span><span>ausschließlich zwischen Seefunkstellen</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> C</div><div style='margin-top:4px;'>zwischen Küstenfunkstellen und Seefunkstellen bzw. zwischen Seefunkstellen untereinander</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Welche Funktion hat das GMDSS?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Positionsbestimmung durch geostationäre Satelliten</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>störungsfreier Funkverkehr im Seenotfall</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Koordinierung der Alarmierung von Seefunkstellen</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>D.</span><span>Hilfe in Seenotfällen und Sicherung der Schifffahrt durch schnelle und genaue Alarmierung</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> D</div><div style='margin-top:4px;'>Hilfe in Seenotfällen und Sicherung der Schifffahrt durch schnelle und genaue Alarmierung</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Zu welchem Zweck wurde das GMDSS eingeführt?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Schnelle Alarmierung in Notfällen</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Schnelle Alarmierung in Not- und Dringlichkeitsfällen</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Schnelle Alarmierung in Not- und Sicherheitsfällen</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>D.</span><span>Schnelle und genaue Alarmierung in Not-, Dringlichkeits- und Sicherheitsfällen</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> D</div><div style='margin-top:4px;'>Schnelle und genaue Alarmierung in Not-, Dringlichkeits- und Sicherheitsfällen</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Welche Aufgabe hat die Internationale Fernmeldeunion ITU?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Festlegung grundlegender Regelungen für die internationale Telekommunikation</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Festlegung der Funkausrüstung von Seeschiffen</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Überwachung des weltweiten Funkverkehrs</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>D.</span><span>Abrechnung von Seefunkgesprächen</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> A</div><div style='margin-top:4px;'>Festlegung grundlegender Regelungen für die internationale Telekommunikation</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Was regelt die Vollzugsordnung für den Funkdienst (Radio Regulations)?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>freien Funkverkehr zwischen Nationen</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Benutzung von Radaranlagen</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Ausrüstung von Seeschiffen</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>D.</span><span>Zuweisung von Frequenzbereichen und Betriebsverfahren im Seefunkdienst</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> D</div><div style='margin-top:4px;'>Zuweisung von Frequenzbereichen und Betriebsverfahren im Seefunkdienst</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Welche BSH-Publikation enthält speziell Informationen zum Seefunk für die Sportschifffahrt?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Mitteilungen für Seefunkstellen</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Nautisches Jahrbuch</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Nachrichten für Seefahrer</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>D.</span><span>Funkdienst für die Klein- und Sportschifffahrt</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> D</div><div style='margin-top:4px;'>Funkdienst für die Klein- und Sportschifffahrt</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Was ist eine Küstenfunkstelle?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Ortsfeste Funkstelle des mobilen Seefunkdienstes</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Funkstelle an Bord eines Schiffes im Küstenbereich</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Rundfunkstelle für Wetternachrichten</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>D.</span><span>Schiffsfunkstelle für Mobilfunkempfang</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> A</div><div style='margin-top:4px;'>Ortsfeste Funkstelle des mobilen Seefunkdienstes</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Was bedeutet öffentlicher Funkverkehr?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Funkverkehr ohne Fernmeldegeheimnis</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>unkodierter Funkverkehr</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Funkverkehr, der der Allgemeinheit zum Austausch von Nachrichten dient</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>D.</span><span>Funkverkehr, der abgehört werden muss</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> C</div><div style='margin-top:4px;'>Funkverkehr, der der Allgemeinheit zum Austausch von Nachrichten dient</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Was ist zusätzlich für die Teilnahme am öffentlichen Funkverkehr erforderlich?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Vertrag mit einer Abrechnungsgesellschaft</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Zulassung des Funkgerätes</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Zuteilung der Ship Station Licence</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>D.</span><span>Besitz eines Funkzeugnisses</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> A</div><div style='margin-top:4px;'>Vertrag mit einer Abrechnungsgesellschaft</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Wodurch erfährt eine Seefunkstelle, dass Nachrichten vorliegen?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Individuelle Benachrichtigung oder Sammelanrufe</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>NAVTEX-Meldung</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Benachrichtigung per SMS</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>D.</span><span>Benachrichtigung durch Abrechnungsgesellschaft</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> A</div><div style='margin-top:4px;'>Individuelle Benachrichtigung oder Sammelanrufe</div></div>"
