Frage;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort
"Wie ist die Rangfolge der Aussendungen im Seefunkdienst festgelegt?";"Routine, Dringlichkeit, Sicherheit, Not";"Not, Sicherheit, Dringlichkeit, Routine";"Not, Dringlichkeit, Sicherheit, Routine";"Routine, Sicherheit, Dringlichkeit, Not";"Not, Dringlichkeit, Sicherheit, Routine"
"Welche Vorkommnisse sollen im Schiffstagebuch dokumentiert werden?";"Der gesamte DSC-Verkehr";"Not-, Dringlichkeits- und Sicherheitsverkehr sowie wichtige Vorkommnisse zum Seefunkdienst";"GMDSS-Verkehr zwischen Seefunkstellen";"Not-, Dringlichkeits-, Sicherheits- und Routineverkehr";"Not-, Dringlichkeits- und Sicherheitsverkehr sowie wichtige Vorkommnisse zum Seefunkdienst"
"Welchem Funkverkehr ist der Nachrichtenaustausch zwischen Revier- und Hafenfunkdienst und Seefunkstellen zuzuordnen?";"Port Radio";"Öffentlicher Funkverkehr";"On Board Traffic";"Nichtöffentlicher Funkverkehr";"Nichtöffentlicher Funkverkehr"
"Wozu dient der Revier- und Hafenfunkdienst?";"Zuweisung von Liegeplätzen";"Verbreitung von Wetterberichten";"Nachrichtenaustausch über das öffentliche Netz";"Übermittlung von Nachrichten zur Führung, Fahrt und Sicherheit von Schiffen";"Übermittlung von Nachrichten zur Führung, Fahrt und Sicherheit von Schiffen"
"Welcher Funkdienst gehört ebenfalls zum Sicherheitsfunkdienst im mobilen Seefunkdienst?";"Binnenschifffahrtsfunk";"Lotsenfunk";"Schleusenfunk";"Schiffslenkungsfunkdienst";"Schiffslenkungsfunkdienst"
"Wer bestimmt bei einer Verbindung zwischen See- und Küstenfunkstelle den Arbeitskanal?";"Rufende Funkstelle";"On-Scene Coordinator";"Seefunkstelle";"Küstenfunkstelle";"Küstenfunkstelle"
"Wie ist eine Küstenfunkstelle des Revier- und Hafenfunkdienstes gekennzeichnet?";"Radio, gefolgt vom geografischen Namen und der Art des Dienstes";"Geografischer Name, dann Radio, dann Art des Dienstes";"Wort Radio, dann Art des Dienstes und geografischer Name";"Geografischer Name des Ortes, dem die Art des Dienstes und das Wort Radio folgen";"Geografischer Name des Ortes, dem die Art des Dienstes und das Wort Radio folgen"
"Welche Funkstelle wird mit dem Rufnamen Warnemünde Traffic gerufen?";"Wasserschutzpolizei Warnemünde";"Hafenmeister der Marina Warnemünde";"Seefunkstelle der DGzRS";"Küstenfunkstelle des Revierfunkdienstes in Warnemünde";"Küstenfunkstelle des Revierfunkdienstes in Warnemünde"
"Was zeigt das Dringlichkeitszeichen an?";"Notmeldung mit unmittelbarer Lebensgefahr";"Eilige nautische Warnnachricht";"Sehr dringende Meldung zur Sicherheit einer mobilen Einheit oder Person";"Bestätigung des EPIRB-Empfangs";"Sehr dringende Meldung zur Sicherheit einer mobilen Einheit oder Person"
"Wie lautet das Dringlichkeitszeichen im Sprechfunk?";"SECURITE";"URGENCY";"PAN PAN";"MAYDAY";"PAN PAN"
