Frage;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort
"Was versteht man unter dem Mobilen Seefunkdienst?";"ausschließlich zwischen Seefunkstellen";"zwischen tragbaren Funkstellen an Bord eines Seefahrzeuges";"zwischen Küstenfunkstellen und Seefunkstellen bzw. zwischen Seefunkstellen untereinander";"zwischen Funkstellen ohne Zuteilung";"zwischen Küstenfunkstellen und Seefunkstellen bzw. zwischen Seefunkstellen untereinander"
"Welche Funktion hat das GMDSS?";"Koordinierung der Alarmierung von Seefunkstellen";"Hilfe in Seenotfällen und Sicherung der Schifffahrt durch schnelle und genaue Alarmierung";"Positionsbestimmung durch geostationäre Satelliten";"störungsfreier Funkverkehr im Seenotfall";"Hilfe in Seenotfällen und Sicherung der Schifffahrt durch schnelle und genaue Alarmierung"
"Zu welchem Zweck wurde das GMDSS eingeführt?";"Schnelle Alarmierung in Notfällen";"Schnelle und genaue Alarmierung in Not-, Dringlichkeits- und Sicherheitsfällen";"Schnelle Alarmierung in Not- und Sicherheitsfällen";"Schnelle Alarmierung in Not- und Dringlichkeitsfällen";"Schnelle und genaue Alarmierung in Not-, Dringlichkeits- und Sicherheitsfällen"
"Welche Aufgabe hat die Internationale Fernmeldeunion ITU?";"Überwachung des weltweiten Funkverkehrs";"Abrechnung von Seefunkgesprächen";"Festlegung grundlegender Regelungen für die internationale Telekommunikation";"Festlegung der Funkausrüstung von Seeschiffen";"Festlegung grundlegender Regelungen für die internationale Telekommunikation"
"Was regelt die Vollzugsordnung für den Funkdienst (Radio Regulations)?";"Benutzung von Radaranlagen";"Ausrüstung von Seeschiffen";"Zuweisung von Frequenzbereichen und Betriebsverfahren im Seefunkdienst";"freien Funkverkehr zwischen Nationen";"Zuweisung von Frequenzbereichen und Betriebsverfahren im Seefunkdienst"
"Welche BSH-Publikation enthält speziell Informationen zum Seefunk für die Sportschifffahrt?";"Nachrichten für Seefahrer";"Funkdienst für die Klein- und Sportschifffahrt";"Nautisches Jahrbuch";"Mitteilungen für Seefunkstellen";"Funkdienst für die Klein- und Sportschifffahrt"
"Was ist eine Küstenfunkstelle?";"Funkstelle an Bord eines Schiffes im Küstenbereich";"Ortsfeste Funkstelle des mobilen Seefunkdienstes";"Rundfunkstelle für Wetternachrichten";"Schiffsfunkstelle für Mobilfunkempfang";"Ortsfeste Funkstelle des mobilen Seefunkdienstes"
"Was bedeutet öffentlicher Funkverkehr?";"unkodierter Funkverkehr";"Funkverkehr ohne Fernmeldegeheimnis";"Funkverkehr, der der Allgemeinheit zum Austausch von Nachrichten dient";"Funkverkehr, der abgehört werden muss";"Funkverkehr, der der Allgemeinheit zum Austausch von Nachrichten dient"
"Was ist zusätzlich für die Teilnahme am öffentlichen Funkverkehr erforderlich?";"Zulassung des Funkgerätes";"Zuteilung der Ship Station Licence";"Vertrag mit einer Abrechnungsgesellschaft";"Besitz eines Funkzeugnisses";"Vertrag mit einer Abrechnungsgesellschaft"
"Wodurch erfährt eine Seefunkstelle, dass Nachrichten vorliegen?";"Benachrichtigung per SMS";"NAVTEX-Meldung";"Benachrichtigung durch Abrechnungsgesellschaft";"Individuelle Benachrichtigung oder Sammelanrufe";"Individuelle Benachrichtigung oder Sammelanrufe"
"Was sind Abrechnungsgrundlagen für ein Seefunkgespräch über eine deutsche Küstenfunkstelle?";"Gesprächsdauer und Entfernung";"Gesprächsdauer und Preis der Verrechnungseinheiten";"Gesprächsdauer und Dringlichkeit";"Gesprächsdauer und Frequenzgebühren";"Gesprächsdauer und Preis der Verrechnungseinheiten"
"Was ist eine Sea-Area im GMDSS?";"Internationales Seewarngebiet";"NAVTEX-Gebiet";"Weltweites Suchraster";"Festgelegtes Seegebiet";"Festgelegtes Seegebiet"
"Wie heißen die GMDSS-Seegebiete?";"A, B, C, D";"NAVAREAS";"Küsten- und Hochseegebiete";"A1, A2, A3, A4";"A1, A2, A3, A4"
"In welchem Seegebiet befindet sich ein Schiff in Reichweite einer UKW-DSC-Küstenfunkstelle?";"Seegebiet A3";"Seegebiet A1";"Seegebiet A2";"Seegebiet A4";"Seegebiet A1"
"Welche satellitengestützten Alarmierungssysteme gehören zum GMDSS?";"EPIRB und AIS";"DSC und COSPAS-SARSAT";"Eutelsat und Globalstar";"COSPAS-SARSAT und Inmarsat";"COSPAS-SARSAT und Inmarsat"
"Was bezeichnet MSI?";"Landeskennung einer Funkstelle";"Maritime Mobile Service Identity";"Nachricht zur Sicherheit der Seeschifffahrt";"mittlere Signalstärke";"Nachricht zur Sicherheit der Seeschifffahrt"
"Welche Aussendung wird als WX bezeichnet?";"Nautische Warnnachricht";"Wetterbericht";"zurückgenommene Aussendung";"Funktelexaussendung";"Wetterbericht"
"Welche Aussendung wird als NX bezeichnet?";"Wetterbericht";"zurückgenommene Aussendung";"Nautische Warnnachricht";"Funktelexaussendung";"Nautische Warnnachricht"
"Was versteht man unter AIS?";"Radaridentifikation von Schiffen";"Allgemeines Informationssystem";"Automatisches Identifizierungs- und Überwachungssystem auf UKW";"automatische Kennung beim Sprechen";"Automatisches Identifizierungs- und Überwachungssystem auf UKW"
"Was bedeutet ETA?";"voraussichtliche Restfahrtzeit";"voraussichtliche Abfahrtszeit";"voraussichtliche Gesamtfahrtzeit";"voraussichtliche Ankunftszeit";"voraussichtliche Ankunftszeit"
"Woran orientieren sich Zeitangaben im Seefunkdienst?";"Greenwich Mean Time";"Ortszeit";"Bordzeit";"Koordinierte Weltzeit UTC";"Koordinierte Weltzeit UTC"
"Welche Bedeutung hat LT?";"Zeitzone nach Breite";"Zeit für Funkaussendungen im Gebiet";"automatisch über GPS übermittelte Zeit";"Ortszeit bezogen auf den Standort des Schiffes";"Ortszeit bezogen auf den Standort des Schiffes"
"Wie nennt man ein funkärztliches Beratungsgespräch?";"Emergency-Gespräch";"Medico-Gespräch";"Medical-Transport-Gespräch";"Erste-Hilfe-Gespräch";"Medico-Gespräch"
