Frage;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort
Wozu dient ein Verkehrskreis im Binnenschifffahrtsfunk?;Zuordnung von Sprechfunk-Kanälen für bestimmte Zwecke;Zuordnung von Sprechfunk-Kanälen für bestimmte Schiffsfunkstellen;Zuordnung der Rangfolge von bestimmten Arten von Funkgesprächen;Zuordnung von Sprechfunk-Rufzeichen für bestimmte Funkstellen;Zuordnung von Sprechfunk-Kanälen für bestimmte Zwecke
Welche Verkehrskreise werden im Binnenschifffahrtsfunk betrieben?;Schiff – Schiff, Nautische Information, Schiff – Hafenbehörde, Funkverkehr an Bord;Schiff – Schiff, Schiff – Verkehrszentrale, Schiff – Hafenbehörde, Funkverkehr an Bord;Schiff – Schiff, Nautische Information, Schiff – Hafenbehörde, Schiff – Verkehrsposten;Schiff – Schiff, Nautische Information, Schiff – Hafenbehörde, Schiff – Landfunkstelle;Schiff – Schiff, Nautische Information, Schiff – Hafenbehörde, Funkverkehr an Bord
Wo findet man Angaben über die Verkehrskreise des Binnenschifffahrtsfunks?;Binnenschifffahrt-Sprechfunkverordnung;Regionaler Teil Deutschland des Handbuchs Binnenschifffahrtsfunk;Gesetz über Funkanlagen und Telekommunikationsendeinrichtungen (FTEG);Binnenschifffahrtsstraßenordnung;Binnenschifffahrt-Sprechfunkverordnung
Die Verkehrskreise Nautische Information und Schiff – Hafenbehörde werden…;nicht auf allen Bundeswasserstraßen angeboten;auf allen Bundeswasserstraßen angeboten;in Häfen und ausgewiesenen Liegestellen angeboten;auf dem Rhein, auf der Donau und auf der Mosel angeboten;nicht auf allen Bundeswasserstraßen angeboten
Wozu dient der Verkehrskreis Schiff – Schiff?;Funkverkehr zwischen Schiffsfunkstellen;Funkverkehr zwischen Schiffsfunkstellen und Funkstellen der Behörden, die für die Betriebsdienste auf Binnenwasserstraßen zuständig sind;Funkverkehr von Schiffsfunkstellen über Landfunkstellen mit dem öffentlichen Telekommunikationsnetz;Funkverkehr zwischen Handfunkgeräten auf einem Schiff;Funkverkehr zwischen Schiffsfunkstellen
Wozu dient der Verkehrskreis Nautische Information?;Funkverkehr zwischen Schiffsfunkstellen und Funkstellen der Behörden, denen der Betrieb der Bundeswasserstraßen obliegt;Funkverkehr von Schiffsfunkstellen über Landfunkstellen mit dem öffentlichen Telekommunikationsnetz;Funkverkehr zwischen Schiffsfunkstellen;Funkverkehr zwischen Schiffsfunkstellen und Landfunkstellen von Hafenbehörden;Funkverkehr zwischen Schiffsfunkstellen und Funkstellen der Behörden, denen der Betrieb der Bundeswasserstraßen obliegt
Welche Nachrichten werden im Verkehrskreis Nautische Information übermittelt?;Nachrichten über den Zustand der Wasserstraßen, über Verkehrsberatung und zur Verkehrslenkung;Nachrichten über die Zuweisung von Liegeplätzen oder über die Fahrt in den Häfen;Nachrichten, die sich auf Funkverkehr zwischen Schiffsfunkstellen beziehen;Nachrichten über schiffsbetriebliche Angelegenheiten;Nachrichten über den Zustand der Wasserstraßen, über Verkehrsberatung und zur Verkehrslenkung
Wodurch kann bei einem nicht funkausrüstungspflichtigen Fahrzeug die ununterbrochene Teilnahme am Verkehrskreis Nautische Information sichergestellt werden?;Zusätzliche UKW-Funkanlage für den Binnenschifffahrtsfunk;Zweikanalüberwachung (Dual Watch);Ununterbrochene Empfangsbereitschaft auf Kanal 10;Einschalten des Kanals der Funkstelle der zuständigen Hafenbehörde;Zusätzliche UKW-Funkanlage für den Binnenschifffahrtsfunk
Welche Funkstelle ist nicht dem Verkehrskreis Nautische Information zugeordnet?;Neuss Hafen;Iffezheim Schleuse;Gerstheim Ecluse;Oberwesel Revierzentrale;Neuss Hafen
Welche Funkstelle ist dem Verkehrskreis Nautische Information zugeordnet?;Iffezheim Schleuse;Neuss Hafen;Diffenébrücke Mannheim;Mannheim Hafenschleuse;Iffezheim Schleuse
