"Frage";"Antwort A";"Antwort B";"Antwort C";"Antwort D";"Richtige Antwort"
"Was ist Binnenschifffahrtsfunk?";"Nationaler mobiler UKW/VHF-Sprechfunkdienst auf Binnenschifffahrtsstraßen";"Internationaler mobiler UKW/VHF-Sprechfunkdienst auf Binnenschifffahrtsstraßen";"Nationales UKW/VHF-Sprechfunkverfahren im Binnenbereich";"Internationales UKW/VHF-Sprechfunkverfahren im Binnenbereich";"Internationaler mobiler UKW/VHF-Sprechfunkdienst auf Binnenschifffahrtsstraßen"
"Wozu dient der Binnenschifffahrtsfunk?";"Funkverkehr für Schiffsfunkstellen über Landfunkstellen auf vereinbarten Kanälen und nach festgelegtem Betriebsverfahren";"Funkverkehr zu Landfunkstellen für bestimmte Zwecke auf vereinbarten Kanälen und nach festgelegtem Betriebsverfahren";"Funkverkehr für bestimmte Zwecke auf vereinbarten Kanälen (Verkehrskreise) und nach einem festgelegten Betriebsverfahren";"Funkverkehr für Schiffsfunkstellen zu bestimmten Zwecken auf vereinbarten Kanälen (Verkehrskreise) und nach einem festgelegten Betriebsverfahren";"Funkverkehr für bestimmte Zwecke auf vereinbarten Kanälen (Verkehrskreise) und nach einem festgelegten Betriebsverfahren"
"Wo findet man Angaben über die grundsätzlichen Regelungen für den Binnenschifffahrtsfunk in Europa?";"Binnenschifffahrt-Sprechfunkverordnung (BinSchSprFunkV)";"Verwaltungsvereinbarung über die Koordinierung von Frequenzen (HCM)";"Regionale Vereinbarung über den Binnenschifffahrtsfunk (RAINWAT)";"International Convention for the Safety of Life at Sea (SOLAS)";"Regionale Vereinbarung über den Binnenschifffahrtsfunk (RAINWAT)"
"Was ist eine ortsfeste Funkstelle?";"Funkstelle, die im Verkehrskreis Funkverkehr an Bord betrieben wird";"Funkstelle, die von der Fernmeldebehörde betrieben wird";"Funkstelle, die an Bord eines nicht dauernd festgemachten Binnenschiffes betrieben wird";"Funkstelle, die an Land betrieben wird";"Funkstelle, die an Land betrieben wird"
"Was ist eine Revierzentrale?";"Zentrale Seefunkstelle zur Schiffslenkung";"Zentrale Landfunkstelle des Verkehrskreises Nautische Information";"Zentrale Schiffsfunkstelle der Wasserstraßen- und Schifffahrtsverwaltung";"Zentrale Telematikdienste zur Datenübermittlung von AIS";"Zentrale Landfunkstelle des Verkehrskreises Nautische Information"
"Was ist ein Verkehrsposten?";"Zentrale mobile Funkstelle in den Niederlanden";"Zentrale ortsfeste Funkstelle in den Niederlanden";"Zentrale mobile Funkstelle in den Niederlanden und in Frankreich";"Zentrale ortsfeste Funkstelle in den Niederlanden und in Frankreich";"Zentrale ortsfeste Funkstelle in den Niederlanden"
"Was ist ein Blockkanal?";"Gesperrter Funkkanal der Verkehrsposten und Verkehrszentralen in den Niederlanden";"Funkkanal für Routinegespräche der Verkehrsposten und Schiffsfunkstellen in den Niederlanden";"Funkkanal für sicherheitsrelevante Meldungen der Verkehrsposten und Schiffsfunkstellen in den Niederlanden";"Funkkanal für öffentlichen Nachrichtenaustausch zwischen Verkehrsposten in den Niederlanden";"Funkkanal für sicherheitsrelevante Meldungen der Verkehrsposten und Schiffsfunkstellen in den Niederlanden"
"Was bedeutet MIB?";"Mobiles Informationssystem in der Binnenschifffahrt";"Maritimes Identifikationssystem in der Binnenschifffahrt";"Melde- und Identifikationssystem in der Binnenschifffahrt";"Melde- und Informationssystem in der Binnenschifffahrt";"Melde- und Informationssystem in der Binnenschifffahrt"
"Wo darf der Inhaber eines in Deutschland erworbenen UBI am Funkverkehr teilnehmen?";"In allen Mitgliedstaaten der EU";"In allen deutschsprachigen Ländern";"In allen Staaten, die die Vollzugsordnung für den Funkdienst ratifiziert haben";"In allen Ländern, die der Regionalen Vereinbarung über den Binnenschifffahrtsfunk beigetreten sind";"In allen Ländern, die der Regionalen Vereinbarung über den Binnenschifffahrtsfunk beigetreten sind"
"Wo berechtigt das UBI auch zur Teilnahme am mobilen Seefunkdienst?";"Wasserstraßen der Zonen 2 bis 4";"Wasserstraßen der Zonen 1 bis 4";"Wasserstraßen der Zonen 2 bis 3";"Wasserstraßen der Zonen 1 bis 2";"Wasserstraßen der Zonen 1 bis 2"
