"Frage";"Antwort A";"Antwort B";"Antwort C";"Antwort D";"Richtige Antwort"
"Wozu dient ein Verkehrskreis im Binnenschifffahrtsfunk?";"Zuordnung der Rangfolge von Funkgesprächen";"Zuordnung von Sprechfunk-Rufzeichen";"Zuordnung von Sprechfunk-Kanälen für bestimmte Zwecke";"Zuordnung von Kanälen für bestimmte Schiffsfunkstellen";"Zuordnung von Sprechfunk-Kanälen für bestimmte Zwecke"
"Welche Verkehrskreise werden im Binnenschifffahrtsfunk betrieben?";"Schiff–Schiff, Nautische Information, Schiff–Hafenbehörde, Funkverkehr an Bord";"Schiff–Schiff, Schiff–Verkehrszentrale, Schiff–Hafenbehörde, Funkverkehr an Bord";"Schiff–Schiff, Nautische Information, Schiff–Hafenbehörde, Schiff–Landfunkstelle";"Schiff–Schiff, Nautische Information, Schiff–Hafenbehörde, Schiff–Verkehrsposten";"Schiff–Schiff, Nautische Information, Schiff–Hafenbehörde, Funkverkehr an Bord"
"Wo findet man Angaben über die Verkehrskreise des Binnenschifffahrtsfunks?";"FTEG";"BinSchStrO";"Regionaler Teil Deutschland des Handbuchs";"BinSchSprFunkV";"BinSchSprFunkV"
"Die Verkehrskreise Nautische Information und Schiff–Hafenbehörde werden…";"in Häfen und ausgewiesenen Liegestellen angeboten";"auf allen Bundeswasserstraßen angeboten";"nicht auf allen Bundeswasserstraßen angeboten";"auf Rhein, Donau und Mosel angeboten";"nicht auf allen Bundeswasserstraßen angeboten"
"Wozu dient der Verkehrskreis Schiff–Schiff?";"Funkverkehr zwischen Schiffsfunkstellen";"Funkverkehr zwischen Handfunkgeräten auf einem Schiff";"Funkverkehr über Landfunkstellen ins öffentliche Netz";"Funkverkehr zwischen Schiffsfunkstellen und Behördenfunkstellen für Betriebsdienste";"Funkverkehr zwischen Schiffsfunkstellen"
"Welche Nachrichten werden im Verkehrskreis Schiff–Schiff übermittelt?";"Zustand der Wasserstraßen und Verkehrslenkung";"Zuweisung von Liegeplätzen in Häfen";"Schiffsbetriebliche Angelegenheiten zur Sicherheit";"Nachrichten zum Schutz von Personen sowie zur Fahrt oder Sicherheit von Schiffen";"Nachrichten zum Schutz von Personen sowie zur Fahrt oder Sicherheit von Schiffen"
"Welche Funkstelle ist nicht dem Verkehrskreis Schiff–Schiff zugeordnet?";"MS Mainz";"Spey Fähre";"Segelyacht Robbe DA 5005";"Duisburg Hafen";"Duisburg Hafen"
"Welche Funkstelle kann am Verkehrskreis Schiff–Schiff teilnehmen?";"Duisburg Hafen";"Segelyacht Robbe DA 5005";"Minden Revierzentrale";"Lauenburg Schleuse";"Segelyacht Robbe DA 5005"
"Wozu dient der Verkehrskreis Nautische Information?";"Funkverkehr zwischen Schiffsfunkstellen";"Funkverkehr über Landfunkstellen ins öffentliche Netz";"Funkverkehr Schiffsfunkstellen mit Behördenfunkstellen für Bundeswasserstraßen";"Funkverkehr mit Hafenbehörden";"Funkverkehr Schiffsfunkstellen mit Behördenfunkstellen für Bundeswasserstraßen"
"Welche Nachrichten werden im Verkehrskreis Nautische Information übermittelt?";"Zuweisung von Liegeplätzen";"Schiffsbetriebliche Angelegenheiten";"Zustand der Wasserstraßen, Verkehrsberatung und Verkehrslenkung";"Funkverkehr zwischen Schiffsfunkstellen";"Zustand der Wasserstraßen, Verkehrsberatung und Verkehrslenkung"
"Wodurch kann bei nicht funkausrüstungspflichtigen Fahrzeugen ununterbrochene Teilnahme an Nautische Information sichergestellt werden?";"Einschalten des Kanals der Hafenbehörde";"Zweikanalüberwachung (Dual Watch)";"Ununterbrochene Empfangsbereitschaft auf Kanal 10";"Zusätzliche UKW-Funkanlage für Binnenschifffahrtsfunk";"Zweikanalüberwachung (Dual Watch)"
"Welche Funkstelle ist nicht dem Verkehrskreis Nautische Information zugeordnet?";"Oberwesel Revierzentrale";"Iffezheim Schleuse";"Neuss Hafen";"Gerstheim Ecluse";"Neuss Hafen"
"Welche Funkstelle ist dem Verkehrskreis Nautische Information zugeordnet?";"Neuss Hafen";"Diffenébrücke Mannheim";"Mannheim Hafenschleuse";"Iffezheim Schleuse";"Iffezheim Schleuse"
"Wozu dient der Verkehrskreis Schiff–Hafenbehörde?";"Funkverkehr an Bord oder in geschleppten Gruppen";"Funkverkehr zwischen Schiffsfunkstellen in Häfen";"Funkverkehr zwischen Schiffsfunkstellen und Landfunkstellen von Hafenbehörden";"Funkverkehr über Landfunkstellen ins öffentliche Netz";"Funkverkehr zwischen Schiffsfunkstellen und Landfunkstellen von Hafenbehörden"
"Welche Nachrichten werden im Verkehrskreis Schiff–Hafenbehörde übermittelt?";"Zustand der Wasserstraßen und Verkehrslenkung";"Schiffsbetriebliche Angelegenheiten";"Zuweisung von Liegeplätzen oder Fahrt in Häfen";"Funkverkehr zwischen Schiffsfunkstellen";"Zuweisung von Liegeplätzen oder Fahrt in Häfen"
"Welchem Verkehrskreis ist die Landfunkstelle Düsseldorf Marina zugeordnet?";"Schiff–Hafenbehörde";"Nautische Information";"Funkverkehr an Bord";"Schiff–Schiff";"Schiff–Hafenbehörde"
"Welche Funkstelle ist nicht dem Verkehrskreis Schiff–Hafenbehörde zugeordnet?";"Duisburg Hafen";"Gerstheim Ecluse";"Mannheim Hafenschleuse";"Segelyacht Robbe DA 5005";"Segelyacht Robbe DA 5005"
